SITE,YEAR,SITE_S_LATISSIMA_SQ_M,SITE_PERCENT_S_LATISSIMA,WINTER_MIN_SEA_SURFACE_TEMPERATURE,SITE_PERCENT_ROCK,SITE_RICHNESS,SL_DIFF,SL_PERC_DIFF,SL_COVER_DIFF,TEMP_DIFF,RICH_DIFF,RICH_PERC_DIFF
Baker North,2014,15.708333333333334,62.5,0.5,87.1875,31.75,NA,NA,NA,NA,NA,NA
Baker North,2015,10.733333333333334,47.25,0.800000011920929,73.75,37.2,-4.975,-31.671087533156495,-15.25,0.30000001192092896,5.450000000000003,0.1716535433070867
Baker North,2016,4.916666666666667,30.3125,3.700000047683716,93.75,30.5,-5.816666666666667,-54.192546583850934,-16.9375,2.900000035762787,-6.700000000000003,-0.1801075268817205
Baker South,2014,5.666666666666667,36.25,0.5,72.5,32.5,NA,NA,NA,NA,NA,NA
Baker South,2015,11.791666666666668,70.3125,0.800000011920929,70.9375,37.5,6.125000000000001,108.08823529411767,34.0625,0.30000001192092896,5,0.15384615384615385
Baker South,2016,7.083333333333334,57.1875,3.700000047683716,50.3125,31,-4.708333333333334,-39.92932862190813,-13.125,2.900000035762787,-6.5,-0.17333333333333334
Calf Island,2014,7.166666666666667,27.34375,1.899999976158142,81.875,37,NA,NA,NA,NA,NA,NA
Calf Island,2015,6.703703703703703,21.805555555555557,1.399999976158142,77.08333333333333,40.55555555555556,-0.4629629629629637,-6.459948320413447,-5.538194444444443,-0.5,3.555555555555557,0.09609609609609614
Calf Island,2016,7.388888888888888,52.5,3.799999952316284,90.83333333333333,29.833333333333332,0.6851851851851851,10.22099447513812,30.694444444444443,2.399999976158142,-10.722222222222225,-0.2643835616438357
Little Brewster,2014,5.766666666666667,46.5,1.899999976158142,61.75,30.8,NA,NA,NA,NA,NA,NA
Little Brewster,2015,6.604166666666667,18.28125,1.399999976158142,80.625,43.125,0.8375000000000004,14.523121387283242,-28.21875,-0.5,12.325,0.4001623376623376
Little Brewster,2016,5.972222222222222,19.166666666666668,3.799999952316284,91.45833333333333,31.666666666666668,-0.6319444444444446,-9.568874868559414,0.8854166666666679,2.399999976158142,-11.458333333333332,-0.2657004830917874
NE Appledore,2014,4.761904761904762,21.428571428571427,2.200000047683716,93.75,44.42857142857143,NA,NA,NA,NA,NA,NA
NE Appledore,2015,7.428571428571428,24.464285714285715,1.7000000476837158,94.82142857142857,43.857142857142854,2.666666666666666,55.99999999999999,3.0357142857142883,-0.5,-0.5714285714285765,-0.012861736334405259
NE Appledore,2016,5.8,21.5,4,85,34.2,-1.6285714285714281,-21.923076923076916,-2.9642857142857153,2.299999952316284,-9.657142857142851,-0.22019543973941355
NW Appledore,2014,2.433333333333333,8.5,2.200000047683716,85.75,38,NA,NA,NA,NA,NA,NA
NW Appledore,2015,3.1904761904761907,14.107142857142858,1.7000000476837158,89.64285714285714,35.714285714285715,0.7571428571428576,31.11545988258319,5.607142857142858,-0.5,-2.2857142857142847,-0.0601503759398496
NW Appledore,2016,2,10,4,93.75,33.25,-1.1904761904761907,-37.3134328358209,-4.107142857142858,2.299999952316284,-2.4642857142857153,-0.06900000000000002
